dagi_id,kode,navn,ændret,geo_ændret,geo_version,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,visueltcenter_x,visueltcenter_y
98043,9066,Nyvang,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,13,11.08897542,55.66054601,11.14389754,55.69198583,11.11516862,55.67045742
31880,9067,Vamdrup,2024-01-10T22:10:55.667Z,2024-01-10T22:10:55.667Z,4,9.21481913,55.38689078,9.35502792,55.46181161,9.27216486,55.42197769
106750,9068,Søborgmagle,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,12.49921897,55.7193856,12.5216896,55.73076129,12.50811764,55.72546197
93533,9070,Halsskov,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,11.0916641,55.33099521,11.16631216,55.37072504,11.13390467,55.34981556
106745,9071,Haralds,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,7,12.48046291,55.72093417,12.50162334,55.73626008,12.493177,55.72978104
106742,9072,Buddinge,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,12.47844062,55.73947642,12.51390813,55.75701806,12.49628266,55.74496328
5296,9073,Grundtvigs,2024-11-11T22:06:14.416Z,2024-11-11T22:06:14.416Z,4,8.45526707,55.45648968,8.49515947,55.47716607,8.47340167,55.46828363
106754,9074,Lindehøj,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,12.39100329,55.72460484,12.4500186,55.75989596,12.42042273,55.74318628
65313,9075,Aarup,2024-11-11T22:06:14.416Z,2024-11-11T22:06:14.416Z,5,10.02463403,55.36614688,10.08846965,55.39387836,10.04347963,55.37923583
48354,9076,Skalborg,2023-07-06T21:01:47.079Z,2023-07-06T21:01:47.079Z,6,9.85105986,56.99514364,9.90938037,57.02596136,9.87785031,57.01402546
38381,9077,Sønderbro,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,13,9.78911055,55.84730024,9.87880298,55.87233182,9.82946864,55.86015245
77768,9078,Sankt Andreas,2023-07-07T21:07:30.810Z,2023-07-07T21:07:30.810Z,5,10.01979625,56.47275101,10.0604599,56.51371116,10.03990685,56.48668796
47110,9079,Vestervang,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,6,9.33019279,56.45417117,9.43042003,56.49735664,9.38354268,56.47383227
113933,9080,Rungsted,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,8,12.50694069,55.85180353,12.5657093,55.90121513,12.52884849,55.88890543
117450,9081,Korsvejens,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,12.60727723,55.6264185,12.63827571,55.64196707,12.62147645,55.63455878
89646,9082,Rødbyhavn,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,11.30201361,54.63155243,11.41552077,54.68909211,11.37571557,54.65582171
107625,9083,Hedehusene,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,12.18376895,55.63450349,12.24233067,55.66814465,12.21639398,55.65211801
107084,9084,Brøndby Strand,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,12.39057404,55.60653453,12.4488531,55.63410398,12.42290969,55.62194787
